<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	-rdf-syntax-ns#type>	<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product>
<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	01/rdf-schema#label>	"manner gatemen"
<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	/rdf-schema#comment>	"lordlings dialyzed hoardings palmitate resisters redesigned trowing fledging disinters occasionally refry objective comedown senders attendance calculous redux zed bidets subacute swinks berhymed pumping overassured outrush corteges chitters civilest chiffonniers kimonos protects epizootic centimos dismast boomage issues aggrieves sociably ammoniacs polliwogs labyrinths infatuates whiteout dissentients newmown flunkey titillated caduceus rediscovered breaststrokes schillings endorsement cheerleaders nonconcurrent intoned outpaces inkle superpowers habaneras subsoils paramours laughed"
<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	-rdf-syntax-ns#type>	<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType66>
<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	vocabulary/producer>	<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Producer1>
<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	uctPropertyNumeric1>	"831"^^http://www.w3.org/2001/XMLSchema#integer>
<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	uctPropertyNumeric2>	"512"^^http://www.w3.org/2001/XMLSchema#integer>
<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	uctPropertyNumeric3>	"35"^^http://www.w3.org/2001/XMLSchema#integer>
<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	uctPropertyNumeric4>	"444"^^http://www.w3.org/2001/XMLSchema#integer>
<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	uctPropertyNumeric5>	"150"^^http://www.w3.org/2001/XMLSchema#integer>
<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer6/Product211>	uctPropertyTextual1>	"guzzling jillion psychotherapists substantiation nonuple deluded snowmelt interlards overrefinement annoyed stuntedness calcimining stereophonically"^^http://www.w3.org/2001/XMLSchema#string>
